                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                 1.8381,                 1.9016,                 1.8463,                 0.3858,                0.34763,                0.27467,                0.08029,                  2.358,                 2.3959,                 2.3611,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.8143,                 1.8537,                 1.8363,                0.27483,                  0.349,                0.26651,                0.09437,                 2.5182,                 2.3864,                  2.444,             0.00094085,             0.00094085,             0.00094085
                     46,                   1.81,                 1.8218,                 1.8411,                0.80843,                0.24539,                0.31519,                0.11131,                 2.3998,                 2.4377,                 2.3636,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.7774,                 1.8096,                 1.8087,                0.52609,                0.28088,                0.33874,                0.11053,                 2.4713,                 2.6252,                 2.4047,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.8087,                 1.8236,                 1.8112,                0.47218,                0.27398,                0.24815,                0.09026,                 2.2902,                 2.3742,                 2.2229,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.7662,                 1.7391,                 1.7598,                0.39639,                0.36135,                0.32576,                0.11148,                 2.3411,                 2.2946,                 2.3317,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.7672,                  1.742,                  1.804,                0.32634,                0.34807,                0.32526,                0.11276,                 2.4134,                 2.3359,                  2.431,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.7421,                 1.7197,                 1.7679,                0.30137,                0.41643,                0.32353,                0.09752,                 2.4614,                 2.4353,                 2.4829,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.7491,                 1.7599,                 1.7877,                0.29959,                0.37884,                0.30436,                0.09439,                 2.4385,                 2.4241,                 2.3751,             0.00082533,             0.00082533,             0.00082533
                     53,                 1.7231,                 1.7242,                 1.7489,                0.30558,                0.37369,                0.31308,                0.11536,                 2.3475,                 2.4781,                 2.2918,             0.00080883,             0.00080883,             0.00080883
