                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 1.6275,                 1.5422,                 1.6519,                0.47909,                0.32289,                0.40119,                0.15878,                 2.3533,                 2.2968,                 2.2955,             0.00082533,             0.00082533,             0.00082533
                     53,                 1.6083,                 1.5617,                 1.6348,                0.35707,                0.27825,                 0.2781,                 0.1081,                 2.5372,                 2.4175,                  2.397,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.5883,                 1.4869,                 1.6195,                0.40991,                0.34188,                0.38467,                0.15215,                 2.4891,                 2.2117,                 2.3641,             0.00079233,             0.00079233,             0.00079233
                     55,                 1.5468,                 1.4467,                 1.5821,                 0.4646,                0.31861,                0.38345,                0.14801,                 2.4344,                 2.4609,                 2.3396,             0.00077582,             0.00077582,             0.00077582
                     56,                  1.559,                 1.4356,                 1.5878,                0.35945,                 0.3604,                0.35194,                0.13342,                 2.4607,                  2.192,                  2.252,             0.00075932,             0.00075932,             0.00075932
                     57,                 1.5348,                  1.406,                 1.5723,                0.33207,                0.33666,                0.32255,                0.13293,                 2.4297,                 2.4518,                 2.3762,             0.00074282,             0.00074282,             0.00074282
                     58,                  1.508,                 1.3804,                 1.5484,                0.41787,                0.32953,                0.39789,                0.18549,                  2.356,                 2.2893,                  2.311,             0.00072631,             0.00072631,             0.00072631
                     59,                 1.5132,                 1.3662,                 1.5519,                0.44935,                0.38699,                0.39773,                0.16576,                 2.3933,                 2.2532,                 2.3347,             0.00070981,             0.00070981,             0.00070981
                     60,                  1.514,                 1.3835,                 1.5606,                0.36974,                0.32002,                0.36949,                0.13343,                 2.4563,                 2.3866,                 2.2734,             0.00069331,             0.00069331,             0.00069331
                     61,                 1.5244,                 1.3784,                 1.5607,                0.29424,                0.37274,                0.36423,                0.13137,                 2.4534,                 2.5642,                 2.4111,              0.0006768,              0.0006768,              0.0006768
                     62,                 1.4889,                 1.3147,                 1.5194,                0.26623,                0.36752,                0.31891,                0.11761,                 2.5134,                 2.5601,                 2.4613,              0.0006603,              0.0006603,              0.0006603
                     63,                 1.4805,                 1.3518,                 1.5285,                0.30536,                0.33666,                0.30917,                0.13488,                 2.4765,                 2.5194,                 2.3509,              0.0006438,              0.0006438,              0.0006438
                     64,                 1.5035,                 1.3169,                 1.5329,                0.23094,                0.27255,                0.24564,                0.10969,                 2.5271,                 2.4333,                 2.4483,             0.00062729,             0.00062729,             0.00062729
                     65,                 1.4682,                 1.2644,                  1.519,                0.47143,                0.32241,                0.39973,                0.14809,                 2.5025,                 2.4004,                 2.4278,             0.00061079,             0.00061079,             0.00061079
                     66,                 1.4838,                 1.3211,                 1.5358,                0.34826,                0.32811,                0.32956,                0.12808,                 2.5081,                 2.5558,                 2.4128,             0.00059429,             0.00059429,             0.00059429
                     67,                 1.4213,                 1.2545,                 1.4924,                 0.4169,                0.32336,                0.33971,                0.12295,                 2.4219,                 2.3855,                    2.4,             0.00057778,             0.00057778,             0.00057778
                     68,                 1.4379,                 1.2753,                 1.4966,                0.32409,                0.39221,                0.36841,                 0.1563,                 2.5077,                 2.3514,                 2.4976,             0.00056128,             0.00056128,             0.00056128
                     69,                 1.4284,                 1.2354,                 1.4871,                0.44904,                0.32953,                0.34388,                0.12204,                 2.5256,                  2.499,                 2.4513,             0.00054478,             0.00054478,             0.00054478
                     70,                 1.4444,                 1.2342,                 1.4903,                0.37707,                0.27672,                 0.3082,                0.12507,                 2.6421,                 2.4147,                 2.5615,             0.00052827,             0.00052827,             0.00052827
                     71,                 1.3776,                 1.2054,                 1.4622,                0.43212,                0.29107,                0.35489,                 0.1629,                 2.5175,                 2.3338,                 2.4723,             0.00051177,             0.00051177,             0.00051177
                     72,                 1.3813,                 1.1992,                 1.4649,                0.34655,                0.26021,                0.28345,                0.12634,                 2.5379,                 2.2935,                 2.4981,             0.00049527,             0.00049527,             0.00049527
                     73,                 1.4084,                 1.2233,                 1.4737,                 0.3244,                0.30959,                 0.2996,                0.11511,                 2.5547,                 2.3548,                 2.4722,             0.00047876,             0.00047876,             0.00047876
                     74,                 1.3492,                 1.1672,                 1.4389,                0.31208,                0.33523,                0.30137,                0.11274,                 2.6449,                 2.3365,                 2.6255,             0.00046226,             0.00046226,             0.00046226
