                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.7839,                 1.9067,                  1.827,                0.47466,                0.34496,                0.33603,                0.11435,                 2.3728,                 2.3893,                 2.3954,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.7725,                 1.7908,                 1.8005,                0.31608,                0.38469,                0.30007,                 0.1031,                 2.3262,                 2.4564,                 2.2687,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.7605,                 1.7862,                 1.7979,                 0.2568,                  0.368,                0.25912,                0.09565,                 2.3247,                 2.3808,                 2.3363,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.7892,                 1.8521,                 1.8102,                0.26204,                0.41785,                0.23683,                0.07314,                 2.2601,                 2.5174,                 2.3201,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.7727,                 1.7871,                 1.8003,                0.48267,                0.30585,                0.26387,                0.08406,                 2.3523,                 2.4313,                 2.3688,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.7484,                 1.8009,                 1.8074,                0.31269,                0.31173,                0.23333,                0.07769,                 2.2352,                 2.5634,                 2.3877,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.7804,                 1.8302,                 1.8545,                0.30707,                  0.368,                0.21249,                0.07365,                 2.2851,                 2.4581,                 2.3346,             0.00084184,             0.00084184,             0.00084184
                     52,                  1.731,                 1.7494,                 1.7723,                0.32396,                0.39221,                 0.2444,                 0.0748,                 2.3193,                 2.4791,                 2.2909,             0.00082533,             0.00082533,             0.00082533
                     53,                 1.7266,                 1.6863,                 1.7406,                0.31316,                0.31659,                0.20046,                0.06882,                 2.3781,                 2.6168,                 2.3558,             0.00080883,             0.00080883,             0.00080883
                     54,                  1.728,                 1.7265,                  1.767,                0.36431,                 0.3583,                0.27979,                0.09345,                  2.433,                 2.4599,                 2.3887,             0.00079233,             0.00079233,             0.00079233
                     55,                 1.6994,                 1.6946,                   1.75,                0.34422,                0.23457,                 0.1974,                0.06456,                 2.5023,                  2.568,                 2.4676,             0.00077582,             0.00077582,             0.00077582
                     56,                 1.6967,                 1.6855,                 1.7574,                0.38777,                0.33001,                0.22914,                0.07464,                 2.3129,                 2.5445,                 2.2985,             0.00075932,             0.00075932,             0.00075932
                     57,                 1.6417,                 1.6184,                 1.7126,                0.37748,                0.31362,                0.22637,                0.07432,                 2.3739,                 2.4324,                 2.4336,             0.00074282,             0.00074282,             0.00074282
                     58,                 1.6685,                 1.6489,                 1.7432,                0.37311,                0.34853,                0.31733,                0.09481,                 2.3714,                 2.3361,                  2.439,             0.00072631,             0.00072631,             0.00072631
                     59,                 1.6512,                 1.6431,                 1.7136,                0.36974,                0.39174,                0.27121,                0.08529,                 2.4022,                 2.3752,                 2.3989,             0.00070981,             0.00070981,             0.00070981
                     60,                 1.6536,                 1.6024,                 1.7076,                0.33656,                0.36308,                0.24614,                0.07553,                 2.4061,                 2.3179,                 2.3859,             0.00069331,             0.00069331,             0.00069331
                     61,                 1.5974,                 1.5494,                 1.6663,                  0.373,                0.41216,                0.35242,                0.11785,                 2.4449,                 2.2318,                 2.4562,              0.0006768,              0.0006768,              0.0006768
                     62,                 1.5999,                 1.5434,                 1.6668,                0.31566,                0.34188,                0.25933,                0.08248,                 2.4328,                 2.3972,                 2.4654,              0.0006603,              0.0006603,              0.0006603
                     63,                 1.6236,                 1.5717,                 1.7005,                0.36979,                 0.2849,                 0.2894,                0.10195,                 2.3971,                 2.3205,                 2.3317,              0.0006438,              0.0006438,              0.0006438
                     64,                 1.6045,                  1.528,                 1.6756,                0.39119,                0.35375,                0.27766,                0.09489,                 2.3962,                 2.3428,                   2.38,             0.00062729,             0.00062729,             0.00062729
                     65,                 1.5545,                 1.4993,                 1.6555,                0.37343,                0.37392,                0.32294,                 0.1276,                 2.3144,                 2.2987,                 2.3274,             0.00061079,             0.00061079,             0.00061079
                     66,                 1.5988,                 1.5023,                 1.6696,                0.48914,                0.30484,                0.29946,                0.10757,                 2.4639,                 2.3682,                 2.4373,             0.00059429,             0.00059429,             0.00059429
                     67,                  1.521,                 1.4524,                 1.6365,                0.39022,                0.39174,                0.35907,                0.13361,                 2.2653,                 2.2077,                 2.2808,             0.00057778,             0.00057778,             0.00057778
                     68,                 1.5954,                 1.4703,                 1.6637,                0.32498,                0.40456,                0.28785,                0.10732,                 2.3234,                 2.2054,                 2.3533,             0.00056128,             0.00056128,             0.00056128
                     69,                 1.5379,                 1.4578,                 1.6373,                0.32942,                0.40975,                0.29147,                0.09969,                 2.2893,                 2.4326,                 2.2949,             0.00054478,             0.00054478,             0.00054478
                     70,                 1.4991,                 1.4017,                 1.5958,                0.32062,                0.43115,                 0.2496,                0.07717,                 2.4431,                 2.2642,                 2.4873,             0.00052827,             0.00052827,             0.00052827
                     71,                 1.5141,                 1.4104,                 1.6245,                0.30081,                0.44777,                0.28378,                0.08815,                 2.4576,                 2.2348,                 2.4993,             0.00051177,             0.00051177,             0.00051177
                     72,                 1.4887,                  1.357,                 1.5855,                0.36426,                0.43067,                0.29178,                0.09382,                 2.5138,                 2.3587,                 2.5098,             0.00049527,             0.00049527,             0.00049527
                     73,                 1.4563,                 1.3234,                 1.5726,                0.38966,                0.42972,                0.33575,                0.11263,                 2.5497,                 2.3097,                 2.5223,             0.00047876,             0.00047876,             0.00047876
                     74,                 1.4919,                 1.3796,                 1.5918,                0.40105,                0.31054,                0.24695,                0.07749,                 2.4348,                  2.288,                 2.4518,             0.00046226,             0.00046226,             0.00046226
                     75,                 1.4612,                 1.2982,                 1.5735,                0.34945,                0.39791,                0.29044,                0.09742,                 2.4412,                 2.2174,                 2.4562,             0.00044576,             0.00044576,             0.00044576
                     76,                 1.4467,                 1.2636,                 1.5716,                0.32628,                0.42403,                0.29647,                0.08922,                  2.418,                 2.1462,                 2.4841,             0.00042925,             0.00042925,             0.00042925
                     77,                   1.44,                 1.3275,                 1.5752,                0.43195,                0.33476,                0.31059,                0.11402,                 2.3594,                 2.3083,                  2.409,             0.00041275,             0.00041275,             0.00041275
                     78,                 1.4047,                  1.269,                 1.5238,                0.39488,                0.32241,                0.26117,                0.09313,                 2.3876,                 2.3573,                 2.4332,             0.00039625,             0.00039625,             0.00039625
                     79,                  1.394,                 1.2435,                 1.5184,                0.30835,                0.37274,                0.29633,                0.11618,                 2.4449,                 2.3246,                 2.4477,             0.00037974,             0.00037974,             0.00037974
                     80,                 1.3675,                 1.2463,                 1.5205,                0.27674,                0.42308,                0.26439,                0.09172,                 2.5276,                 2.2294,                 2.6125,             0.00036324,             0.00036324,             0.00036324
                     81,                 1.3613,                 1.2307,                 1.5212,                0.46805,                0.34902,                0.35385,                0.11307,                 2.4308,                 2.1533,                 2.5282,             0.00034674,             0.00034674,             0.00034674
                     82,                 1.3596,                  1.194,                 1.5214,                0.40698,                 0.4169,                0.30571,                0.10517,                 2.5303,                 2.1892,                 2.6056,             0.00033023,             0.00033023,             0.00033023
                     83,                 1.3628,                 1.1772,                 1.4938,                0.35964,                0.47388,                0.34495,                0.10976,                 2.5156,                 2.2129,                 2.5532,             0.00031373,             0.00031373,             0.00031373
                     84,                 1.3306,                   1.17,                 1.4698,                0.39063,                0.42047,                0.34585,                0.12169,                 2.4699,                 2.1505,                  2.549,             0.00029723,             0.00029723,             0.00029723
                     85,                 1.3078,                 1.1558,                 1.4607,                0.37116,                0.39316,                0.26719,                0.09029,                 2.5534,                 2.4308,                  2.629,             0.00028072,             0.00028072,             0.00028072
                     86,                 1.3158,                 1.1319,                 1.4689,                0.26787,                0.36562,                0.26658,                0.10071,                 2.4943,                  2.214,                 2.6262,             0.00026422,             0.00026422,             0.00026422
                     87,                  1.278,                 1.1242,                 1.4398,                0.27843,                 0.4169,                 0.2309,                0.07651,                 2.5223,                 2.2516,                 2.5348,             0.00024772,             0.00024772,             0.00024772
                     88,                  1.282,                 1.1014,                 1.4503,                0.40982,                0.33468,                0.27297,                0.09708,                 2.5998,                 2.3981,                 2.6399,             0.00023121,             0.00023121,             0.00023121
                     89,                 1.2702,                 1.1171,                 1.4511,                0.37116,                 0.4169,                0.28777,                0.10597,                 2.6558,                 2.4172,                 2.7802,             0.00021471,             0.00021471,             0.00021471
                     90,                 1.3618,                 1.1758,                 1.5552,                 0.4088,                0.38557,                0.34433,                0.12483,                 2.5276,                 2.1416,                 2.5709,             0.00019821,             0.00019821,             0.00019821
                     91,                 1.2716,                 1.1041,                 1.4816,                0.46393,                 0.2963,                0.33402,                0.13116,                 2.5187,                 2.3374,                 2.5764,              0.0001817,              0.0001817,              0.0001817
                     92,                 1.2552,                 1.0548,                 1.4818,                0.29778,                0.37892,                0.31761,                0.11712,                 2.5375,                 2.3946,                  2.624,              0.0001652,              0.0001652,              0.0001652
                     93,                 1.2505,                 1.0322,                 1.4717,                 0.3528,                0.38509,                0.30531,                0.11122,                  2.515,                 2.4438,                 2.6132,              0.0001487,              0.0001487,              0.0001487
                     94,                 1.2185,                0.98999,                 1.4463,                0.34704,                0.42308,                 0.3133,                0.10975,                 2.5702,                 2.3251,                  2.622,             0.00013219,             0.00013219,             0.00013219
                     95,                 1.1737,                0.99627,                 1.4181,                0.38423,                0.37708,                0.33218,                0.12367,                 2.5582,                 2.3973,                 2.6352,             0.00011569,             0.00011569,             0.00011569
                     96,                  1.141,                0.92767,                 1.3769,                0.43872,                 0.3528,                0.33895,                0.11966,                 2.5369,                 2.3678,                 2.6274,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                 1.1425,                0.94842,                 1.3911,                0.36346,                0.37939,                0.31654,                0.11736,                 2.5258,                 2.3432,                 2.5983,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                 1.1474,                0.90202,                 1.3972,                0.30409,                0.45801,                0.31402,                0.11302,                 2.5605,                 2.2983,                 2.6306,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                 1.1494,                0.92424,                 1.4021,                0.43336,                0.33328,                0.30997,                0.11573,                  2.594,                 2.2502,                  2.654,             4.9677e-05,             4.9677e-05,             4.9677e-05
